,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,13799.9999997,1514484000,14089.85857228,13638.99999963,14069.99999973,283.07311602,3914628.2602053,13829.03581677
1,13376.71824185,1514485800,13889.08199103,13335.0,13799.99999969,234.76325253,3185257.981322,13567.95813226
2,13739.99999999,1514487600,13778.03473641,13378.71663465,13399.99999985,221.49853232,3003277.5625084,13558.90502321
3,13743.00000001,1514489400,13835.40545257,13652.35872713,13764.99999996,79.44011701,1092055.5070121,13746.9020454
4,13850.0,1514491200,14039.99999955,13757.5047164,13760.18798677,128.688834,1788834.3634367,13900.46290602
5,13798.00000012,1514493000,13993.61038179,13730.58262611,13849.99999999,98.56483607,1366573.5833109,13864.71725413
6,13725.99999996,1514494800,13935.64772414,13713.00000008,13823.60340163,86.60490346,1196937.9990734,13820.67240137
7,13859.99999993,1514496600,13942.61038176,13696.70275894,13725.99999996,134.32085422,1851740.9929267,13785.95307243
8,14019.0,1514498400,14054.49999999,13778.00000004,13859.99999986,107.79636068,1497485.3964585,13891.79919444
9,13907.2523933,1514500200,14100.72770119,13895.17363414,14017.99999999,74.73191257,1048685.4492397,14032.63228754
10,14039.96738989,1514502000,14039.96738989,13889.77112279,13926.1496497,89.24941108,1242852.6072971,13925.61129824
11,14307.3458536,1514503800,14310.00000008,13982.16845467,13982.16845467,146.0245157,2065608.834086,14145.63043872
12,14211.74277155,1514505600,14350.0,14200.0,14307.3458536,101.40484938,1448040.7030371,14279.79738533
13,14250.1970349,1514507400,14368.7488525,14165.00000003,14211.74277155,55.44365386,790003.28251703,14248.7593713
14,14199.99999999,1514509200,14244.87486851,14007.62220544,14235.99999988,117.9573011,1669849.5223008,14156.38969973
15,14260.0,1514511000,14321.0,14140.0,14170.91516584,51.00533797,724568.8168542,14205.74484341
16,14739.80845166,1514512800,14755.09999999,14245.00000002,14245.00000002,231.29761234,3369482.3972786,14567.73532242
17,14901.0,1514514600,14949.0,14681.10076241,14755.09999999,166.76425918,2472221.5535843,14824.64867316
18,14770.0,1514516400,14912.00760269,14730.00000023,14910.0,96.76613835,1433418.1156453,14813.22020375
19,14826.99999993,1514518200,14869.2414044,14714.78615119,14790.001,84.48843587,1249579.8881334,14789.95172849
20,14960.50000009,1514520000,14985.0,14748.0778908,14802.00000021,93.23285591,1385535.2856072,14861.01945589
21,14770.00000021,1514521800,14995.0,14758.26251734,14960.50000009,123.8012295,1838327.0013829,14849.0205534
